,Concept,Occurence,Frequency,Mean,Median,Sdev
310,stellar diameter,[80],1,0.16359918200409,0.16359918200409,0.0
311,theoretical work,[81],1,0.1656441717791411,0.1656441717791411,0.0
312,physical structure,[81],1,0.1656441717791411,0.1656441717791411,0.0
313,important,[81],1,0.1656441717791411,0.1656441717791411,0.0
314,first decade,[81],1,0.1656441717791411,0.1656441717791411,0.0
315,hertzsprung-russell diagram,[82],1,0.16768916155419222,0.16768916155419222,0.0
316,astrophysical study,[82],1,0.16768916155419222,0.16768916155419222,0.0
317,stellar evolution,[ 83 420],2,0.5143149284253579,0.5143149284253579,0.3445807770961145
318,successful model,[83],1,0.16973415132924335,0.16973415132924335,0.0
319,cecilia payne-gaposchkin,[84],1,0.17177914110429449,0.17177914110429449,0.0
320,phd thesis,[84],1,0.17177914110429449,0.17177914110429449,0.0
321,quantum physic,[85],1,0.1738241308793456,0.1738241308793456,0.0
322,further understood,[85],1,0.1738241308793456,0.1738241308793456,0.0
323,advance,[85],1,0.1738241308793456,0.1738241308793456,0.0
324,stellar atmosphere,[ 86 463],2,0.5613496932515337,0.5613496932515337,0.38548057259713703
325,visible part,[87],1,0.17791411042944785,0.17791411042944785,0.0
326,individual star,[ 87  89  90 102 103],5,0.19263803680981595,0.18404907975460122,0.014013776440909459
327,local group,[87 89],2,0.17995910020449898,0.17995910020449898,0.002044989775051125
328,exception,[87],1,0.17791411042944785,0.17791411042944785,0.0
329,detailed star catalogue,[87],1,0.17791411042944785,0.17791411042944785,0.0
330,virgo cluster,[88],1,0.17995910020449898,0.17995910020449898,0.0
331,m100 galaxy,[88],1,0.17995910020449898,0.17995910020449898,0.0
332,light year,[88 91],2,0.18302658486707565,0.18302658486707565,0.003067484662576687
333,cepheids,[89],1,0.18200408997955012,0.18200408997955012,0.0
334,current telescope,[89],1,0.18200408997955012,0.18200408997955012,0.0
335,principle observe faint,[89],1,0.18200408997955012,0.18200408997955012,0.0
336,local supercluster,[89 90],2,0.18302658486707565,0.18302658486707565,0.0010224948875255625
